id,label
0,3
1,4
2,6
3,4
4,4
5,5
6,0
7,6
8,4
9,6
10,6
11,3
12,0
13,6
14,6
15,3
16,6
17,6
18,0
19,0
20,0
21,3
22,4
23,4
24,0
25,5
26,3
27,6
28,0
29,2
30,4
31,5
32,6
33,3
34,2
35,6
36,4
37,3
38,0
39,3
40,3
41,5
42,4
43,3
44,4
45,4
46,0
47,3
48,3
49,0
50,3
51,4
52,4
53,4
54,1
55,6
56,5
57,3
58,4
59,5
60,3
61,4
62,6
63,4
64,5
65,0
66,4
67,4
68,0
69,2
70,6
71,4
72,3
73,4
74,5
75,3
76,0
77,4
78,3
79,4
80,0
81,3
82,2
83,3
84,3
85,6
86,5
87,3
88,0
89,5
90,6
91,0
92,4
93,0
94,4
95,6
96,0
97,0
98,5
99,4
100,0
101,3
102,3
103,6
104,4
105,3
106,2
107,3
108,2
109,4
110,3
111,2
112,3
113,4
114,0
115,3
116,4
117,2
118,3
119,5
120,0
121,3
122,4
123,6
124,3
125,4
126,2
127,3
128,4
129,6
130,3
131,0
132,3
133,4
134,5
135,3
136,4
137,2
138,0
139,2
140,2
141,3
142,6
143,2
144,6
145,4
146,4
147,4
148,4
149,4
150,3
151,3
152,4
153,4
154,3
155,4
156,0
157,6
158,4
159,6
160,6
161,0
162,4
163,2
164,6
165,0
166,6
167,0
168,0
169,4
170,0
171,4
172,6
173,3
174,6
175,4
176,6
177,6
178,3
179,2
180,4
181,0
182,4
183,4
184,6
185,5
186,4
187,2
188,2
189,4
190,5
191,0
192,3
193,2
194,2
195,4
196,4
197,4
198,3
199,6
200,6
201,2
202,3
203,6
204,3
205,6
206,4
207,6
208,3
209,6
210,4
211,0
212,6
213,6
214,6
215,6
216,3
217,5
218,4
219,5
220,2
221,4
222,0
223,4
224,4
225,6
226,2
227,5
228,0
229,4
230,0
231,6
232,4
233,3
234,0
235,0
236,3
237,3
238,0
239,3
240,5
241,5
242,4
243,3
244,3
245,0
246,4
247,4
248,3
249,6
250,3
251,0
252,5
253,4
254,4
255,6
256,5
257,6
258,3
259,6
260,5
261,4
262,6
263,5
264,5
265,4
266,2
267,4
268,3
269,5
270,3
271,3
272,3
273,6
274,3
275,6
276,2
277,2
278,5
279,0
280,1
281,5
282,4
283,3
284,0
285,6
286,2
287,6
288,3
289,5
290,2
291,3
292,3
293,2
294,3
295,6
296,4
297,6
298,4
299,6
300,5
301,0
302,6
303,3
304,3
305,3
306,2
307,3
308,0
309,5
310,3
311,5
312,3
313,6
314,2
315,0
316,4
317,6
318,0
319,0
320,6
321,4
322,0
323,4
324,6
325,3
326,4
327,6
328,0
329,4
330,3
331,6
332,5
333,0
334,4
335,3
336,4
337,6
338,0
339,2
340,3
341,0
342,3
343,3
344,3
345,3
346,4
347,3
348,0
349,0
350,0
351,3
352,0
353,4
354,3
355,5
356,6
357,4
358,2
359,0
360,3
361,5
362,5
363,6
364,2
365,5
366,3
367,4
368,1
369,3
370,3
371,3
372,4
373,2
374,4
375,5
376,6
377,0
378,3
379,6
380,4
381,0
382,0
383,2
384,6
385,3
386,3
387,5
388,0
389,0
390,4
391,5
392,5
393,3
394,6
395,6
396,3
397,0
398,4
399,1
400,3
401,4
402,6
403,4
404,0
405,3
406,4
407,3
408,0
409,3
410,4
411,0
412,0
413,6
414,3
415,4
416,5
417,0
418,3
419,3
420,4
421,3
422,0
423,5
424,5
425,4
426,3
427,6
428,6
429,6
430,3
431,4
432,6
433,3
434,4
435,6
436,4
437,1
438,4
439,3
440,6
441,6
442,4
443,0
444,3
445,5
446,6
447,0
448,6
449,6
450,4
451,2
452,0
453,5
454,3
455,3
456,4
457,0
458,3
459,2
460,3
461,0
462,3
463,6
464,3
465,6
466,2
467,2
468,0
469,5
470,4
471,0
472,2
473,4
474,3
475,5
476,0
477,5
478,4
479,6
480,4
481,3
482,4
483,5
484,4
485,6
486,6
487,3
488,6
489,4
490,6
491,6
492,5
493,0
494,4
495,0
496,4
497,5
498,0
499,6
500,4
501,0
502,0
503,4
504,5
505,3
506,5
507,0
508,6
509,6
510,5
511,6
512,4
513,6
514,6
515,6
516,4
517,2
518,4
519,0
520,3
521,6
522,4
523,0
524,2
525,2
526,4
527,4
528,0
529,3
530,5
531,3
532,0
533,2
534,3
535,3
536,0
537,2
538,5
539,4
540,0
541,4
542,4
543,0
544,6
545,0
546,6
547,3
548,1
549,6
550,6
551,3
552,2
553,0
554,3
555,6
556,3
557,5
558,3
559,2
560,5
561,3
562,4
563,3
564,3
565,4
566,6
567,4
568,6
569,6
570,3
571,4
572,2
573,5
574,2
575,5
576,3
577,4
578,5
579,0
580,4
581,3
582,4
583,5
584,6
585,3
586,4
587,2
588,0
589,4
590,0
591,0
592,5
593,6
594,2
595,3
596,0
597,6
598,4
599,6
600,6
601,0
602,6
603,6
604,0
605,4
606,4
607,0
608,2
609,4
610,6
611,3
612,5
613,3
614,4
615,4
616,4
617,3
618,2
619,5
620,6
621,3
622,2
623,2
624,6
625,6
626,6
627,3
628,4
629,5
630,5
631,3
632,4
633,6
634,3
635,2
636,4
637,4
638,4
639,5
640,3
641,3
642,4
643,3
644,6
645,0
646,4
647,3
648,3
649,0
650,0
651,2
652,2
653,5
654,4
655,2
656,0
657,6
658,3
659,4
660,2
661,3
662,3
663,2
664,3
665,6
666,1
667,2
668,4
669,6
670,0
671,4
672,3
673,3
674,3
675,4
676,2
677,0
678,5
679,3
680,2
681,3
682,0
683,6
684,0
685,3
686,3
687,2
688,4
689,4
690,3
691,3
692,4
693,3
694,4
695,2
696,0
697,0
698,0
699,5
700,6
701,5
702,2
703,5
704,3
705,4
706,3
707,4
708,4
709,1
710,6
711,3
712,5
713,2
714,0
715,0
716,0
717,0
718,2
719,4
720,3
721,4
722,5
723,0
724,3
725,5
726,3
727,4
728,3
729,6
730,0
731,2
732,5
733,2
734,2
735,3
736,0
737,0
738,3
739,3
740,5
741,0
742,6
743,4
744,2
745,3
746,5
747,3
748,4
749,3
750,0
751,2
752,0
753,0
754,0
755,0
756,4
757,4
758,3
759,3
760,6
761,4
762,3
763,5
764,6
765,2
766,3
767,5
768,6
769,5
770,3
771,3
772,3
773,2
774,4
775,6
776,6
777,3
778,3
779,4
780,4
781,0
782,0
783,4
784,6
785,3
786,2
787,3
788,3
789,4
790,4
791,3
792,2
793,3
794,3
795,3
796,3
797,2
798,0
799,4
800,3
801,0
802,3
803,0
804,6
805,5
806,4
807,6
808,4
809,0
810,0
811,6
812,3
813,2
814,4
815,6
816,3
817,6
818,6
819,3
820,4
821,3
822,3
823,3
824,3
825,3
826,6
827,4
828,2
829,3
830,2
831,6
832,6
833,3
834,3
835,4
836,4
837,3
838,4
839,6
840,4
841,3
842,4
843,4
844,2
845,3
846,4
847,4
848,0
849,3
850,2
851,5
852,5
853,0
854,4
855,4
856,2
857,5
858,4
859,5
860,3
861,0
862,6
863,4
864,6
865,6
866,0
867,2
868,4
869,6
870,4
871,6
872,6
873,0
874,4
875,5
876,3
877,6
878,4
879,0
880,3
881,0
882,6
883,0
884,3
885,0
886,3
887,6
888,0
889,4
890,0
891,6
892,2
893,3
894,5
895,3
896,5
897,6
898,6
899,6
900,3
901,3
902,4
903,3
904,4
905,4
906,4
907,4
908,3
909,6
910,5
911,6
912,4
913,6
914,2
915,6
916,3
917,3
918,4
919,0
920,3
921,4
922,2
923,4
924,4
925,2
926,3
927,0
928,2
929,6
930,4
931,6
932,0
933,0
934,2
935,3
936,0
937,3
938,3
939,2
940,4
941,3
942,0
943,3
944,4
945,4
946,3
947,3
948,0
949,5
950,4
951,4
952,0
953,4
954,2
955,3
956,2
957,3
958,4
959,0
960,0
961,6
962,3
963,3
964,5
965,6
966,2
967,4
968,3
969,2
970,2
971,6
972,5
