id,label
0,3
1,2
2,3
3,3
4,6
5,2
6,0
7,5
8,5
9,0
10,6
11,6
12,3
13,6
14,6
15,3
16,2
17,3
18,6
19,6
20,0
21,3
22,4
23,3
24,4
25,5
26,3
27,6
28,6
29,5
30,2
31,0
32,3
33,3
34,2
35,0
36,4
37,3
38,0
39,6
40,5
41,5
42,0
43,3
44,6
45,4
46,2
47,2
48,3
49,3
50,6
51,3
52,3
53,4
54,1
55,6
56,2
57,3
58,6
59,3
60,4
61,4
62,5
63,0
64,5
65,6
66,3
67,4
68,0
69,3
70,6
71,6
72,6
73,4
74,3
75,4
76,6
77,2
78,3
79,3
80,4
81,3
82,2
83,0
84,3
85,6
86,5
87,2
88,3
89,3
90,6
91,6
92,4
93,0
94,3
95,2
96,3
97,0
98,5
99,6
100,2
101,3
102,6
103,3
104,4
105,3
106,5
107,4
108,3
109,3
110,3
111,4
112,3
113,0
114,0
115,3
116,4
117,2
118,3
119,5
120,3
121,5
122,3
123,0
124,3
125,3
126,2
127,3
128,6
129,0
130,3
131,4
132,3
133,0
134,2
135,3
136,6
137,0
138,0
139,2
140,2
141,3
142,3
143,6
144,6
145,6
146,2
147,6
148,2
149,6
150,3
151,3
152,2
153,1
154,4
155,6
156,0
157,3
158,3
159,6
160,4
161,0
162,5
163,3
164,6
165,0
166,4
167,0
168,0
169,0
170,0
171,6
172,2
173,0
174,6
175,2
176,6
177,3
178,4
179,2
180,4
181,6
182,3
183,2
184,6
185,3
186,4
187,2
188,4
189,6
190,5
191,4
192,3
193,2
194,6
195,6
196,4
197,2
198,2
199,2
200,4
201,5
202,3
203,4
204,2
205,2
206,4
207,6
208,4
209,3
210,6
211,4
212,4
213,3
214,0
215,3
216,3
217,5
218,2
219,2
220,5
221,6
222,0
223,0
224,2
225,0
226,3
227,2
228,3
229,2
230,4
231,6
232,6
233,3
234,4
235,0
236,3
237,3
238,0
239,3
240,5
241,5
242,2
243,3
244,2
245,6
246,4
247,3
248,0
249,4
250,3
251,0
252,5
253,3
254,6
255,6
256,5
257,3
258,3
259,4
260,5
261,3
262,6
263,3
264,2
265,4
266,2
267,4
268,6
269,5
270,6
271,3
272,3
273,0
274,6
275,6
276,2
277,3
278,5
279,3
280,1
281,5
282,4
283,4
284,4
285,0
286,2
287,2
288,4
289,5
290,0
291,3
292,3
293,6
294,6
295,3
296,3
297,5
298,2
299,3
300,3
301,0
302,6
303,3
304,6
305,6
306,4
307,3
308,3
309,5
310,3
311,3
312,0
313,3
314,2
315,0
316,3
317,0
318,0
319,2
320,0
321,2
322,2
323,0
324,3
325,6
326,3
327,6
328,0
329,3
330,3
331,3
332,0
333,2
334,3
335,3
336,3
337,6
338,3
339,2
340,3
341,0
342,2
343,0
344,2
345,3
346,4
347,6
348,5
349,0
350,0
351,3
352,0
353,4
354,5
355,3
356,6
357,2
358,2
359,3
360,3
361,5
362,0
363,2
364,2
365,5
366,2
367,4
368,1
369,3
370,0
371,2
372,5
373,2
374,0
375,5
376,3
377,6
378,6
379,3
380,4
381,3
382,4
383,4
384,5
385,6
386,3
387,0
388,3
389,5
390,4
391,2
392,3
393,0
394,3
395,6
396,0
397,0
398,3
399,0
400,4
401,4
402,6
403,0
404,4
405,5
406,6
407,3
408,6
409,3
410,0
411,0
412,4
413,6
414,3
415,3
416,5
417,0
418,3
419,3
420,0
421,2
422,6
423,2
424,5
425,4
426,3
427,6
428,4
429,6
430,2
431,0
432,6
433,3
434,4
435,6
436,5
437,3
438,2
439,6
440,6
441,2
442,4
443,6
444,3
445,6
446,0
447,0
448,2
449,0
450,3
451,2
452,4
453,5
454,0
455,4
456,3
457,0
458,3
459,5
460,3
461,3
462,4
463,0
464,3
465,0
466,2
467,2
468,6
469,5
470,5
471,0
472,4
473,2
474,2
475,2
476,0
477,5
478,6
479,3
480,2
481,4
482,2
483,4
484,5
485,3
486,6
487,3
488,6
489,0
490,4
491,2
492,5
493,2
494,4
495,2
496,6
497,5
498,0
499,2
500,0
501,0
502,6
